"Entity_Name","Address","Floor","Borough","State","Zip","AED_NumPersonTrained","AED_NumAeds","Latitude","Longitude","Community_District","Council_District","Census_Tract_2010","NTA_Code","BBL","BIN","Location Point","Location Type","Last Updated"
"WIN - Women in Need, Inc. (East 91)","316 East 91st Street","FL 01","Manhattan","New York","10128","0","1","40.78078388","-73.94880174","108","5","5000","MN32","1015537501","1050195","POINT (-73.94880174 40.78078388)","Health & Social Services","08/16/2024"
"Morgan Stanley - ISG - New York Metro - 750 7th Ave - Floor: 19","750 SEVENTH AVENUE","Floor: 19","Manhattan","New York","10019","4","1","40.76074642","-73.98352505","105","3","12500","MN17","1010210026","1024795","POINT (-73.98352505 40.76074642)","Businesses & Commercial Spaces",
"Hardesty & Hanover","1501 BROADWAY","Suite 310","Manhattan","New York","10036","6","1","40.75709624","-73.98619342","105","3","11900","MN17","1010150029","1024706","POINT (-73.98619342 40.75709624)","Businesses & Commercial Spaces",
"P.S. Q016 The Nancy DeBenedittis School","41-15 104 Street","School Safety","Queens","New York","11368","11","1","40.74897924","-73.86122925","404","21","40300","QN26","4019850001","4048820","POINT (-73.86122925 40.74897924)","Public Schools",
"Citi Health Services - 388 Greenwich","388 GREENWICH STREET","-","Manhattan","New York","10013","2","29","40.72065166","-74.01009762","101","1","3900","MN24","1002160001","1082816","POINT (-74.01009762 40.72065166)","Health & Social Services",
"Midwood High School","2839 Bedford Avenue","Outside Room 445","Brooklyn","New York","11210","34","1","40.63322956","-73.95292894","314","45","77200","BK42","3075530041","3205788","POINT (-73.95292894 40.63322956)","School",
"P.S. 251 Paerdegat","1037 East 54 Street","Main Entrance","Brooklyn","New York","11234","43","1","40.63251712","-73.92441689","318","45","72200","BK58","3077580001","3214729","POINT (-73.92441689 40.63251712)","Public Schools","03/10/2025"
"P.S. 958","836-841 5th Avenue","4th floor inside Gym","Brooklyn","New York","11232","15","1","40.65327063","-74.001838","307","38","8400","BK32","3006930039","3000000","POINT (-74.001838 40.65327063)","Public Schools",
"P.S. 65 - The Raymond York Elementary School","103-22 99 Street","Main Entrance","Queens","New York","11417","21","1","40.68258192","-73.84120229","410","32","4002","QN56","4091210011","4438525","POINT (-73.84120229 40.68258192)","Public Schools","03/10/2025"
"LaGuardia Airport -Delta Terminal","1 LaGuardia Airport Entrance","Delta Terminal","Queens","New York","11371","5","31","40.76909974","-73.86345305","480","21","33100","QN80",,"4009260001","POINT (-73.86345305 40.76909974)","Ferries & Other Transportation",
"High School for Health Professions and Human Services","345 EAST 15 STREET","Outside 315","Manhattan","New York","10003","65","1","40.73243962","-73.98303053","106","2","4800","MN21","1009220008","1020419","POINT (-73.98303053 40.73243962)","School",
"Pathways to Graduation @ Children's Aid Society","1522 SOUTHERN BOULEVARD","Outside RM A&B","Queens","New York","10461","3","1","40.83431142","-73.88955962","203","17","15700","BX75","2029820001","2010589","POINT (-73.88955962 40.83431142)","School",
"Amber Charter School Inwood","532 West 215 Street","Main Entrance","Manhattan","New York","10034","16","1","40.8704335","-73.9173406","112","10","30300","MN01","1022437501","1082063","POINT (-73.9173406 40.8704335)","School","03/10/2025"
"Brookfield Properties - New York - 250 Vesey Street - Tower D","250 VESEY STREET","Tower D","Manhattan","New York","10281","17","5","40.71452196","-74.0156771","101","1","31703","MN25","1000160150","1000060","POINT (-74.0156771 40.71452196)","Businesses & Commercial Spaces",
"Brooklyn Laboratory Charter School (Sands Campus)","77 Sands Street, Floors 2-3","Main Entrance","Brooklyn","New York","11201","20","1","40.70008487","-73.98752885","302","33","1300","BK38","3000770001","3000171","POINT (-73.98752885 40.70008487)","School",
"P369K @ Academy of Integrated Learning (K313)","283 Adams Street","Outside Room 536","Brooklyn","New York","11201","22","1","40.69467506","-73.98885333","302","33","1100","BK38","3001400010","3331741","POINT (-73.98885333 40.69467506)","School",
"P.S. 306 Ethan Allen","970 Vermont Street","Main Entrance","Brooklyn","New York","11207","42","1","40.65598945","-73.88654743","305","42","110400","BK82","3043920001","3097873","POINT (-73.88654743 40.65598945)","Public Schools","03/10/2025"
"Morgan Stanley - ISG - New York Metro - 750 7th Ave - Floor: 33","750 SEVENTH AVENUE","Floor: 33","Manhattan","New York","10019","1","1","40.76074642","-73.98352505","105","3","12500","MN17","1010210026","1024795","POINT (-73.98352505 40.76074642)","Businesses & Commercial Spaces",
"J.H.S. 118 William W. Niles","577 East 179 Street","Principal's Office","Bronx","New York","10457","13","1","40.84833213","-73.8930785","206","15","37504","BX17","2030690001","2011995","POINT (-73.8930785 40.84833213)","Public Schools",
